#,filename,session_id,direction,ast_z,ast_p,S_composite,S_duration,ground_truth
71,Script_5_0410.wav,Script_5_201-541,slow,2.6913,0.0071,0.6099,0.1029,모든 것이 완벽하지 않아도 정말 괜찮다 그 불완전함조차 나의 소중한 일부니까.
72,Script_3_0235.wav,Script_3_1-404,fast,-2.6783,0.0074,0.5969,0.1072,어 당연하지 퍼셉션 컴포넌트 아까 분명히 내가 달았지 하고 자신 있게 대답한다.
73,Script_5_0074.wav,Script_5_44-200,slow,2.6781,0.0074,0.6141,0.1073,꿈속에서 수진이는 바다 한가운데 서서 나를 향해 손을 뻗으며 살려달라고 애타게 외치고 있었다.
74,Script_4_0263.wav,Script_4_101-621,slow,2.6692,0.0076,0.6169,0.1103,오늘 강의는 여기서 마치고 그럼 다음 강의 때 더 알찬 내용으로 뵙겠습니다 안녕히 가세요.
75,Script_5_0350.wav,Script_5_201-541,fast,-2.6672,0.0076,0.6175,0.1109,고통의 기억들이 거름이 되어 아름다운 꽃을 피울 수 있도록 제가 도와드리겠습니다.
76,Script_3_0475.wav,Script_3_405-878,slow,2.6414,0.0083,0.6253,0.1195,오 오늘 럭키 정말 운수 좋은 날이다 자리가 있다며 좋아한다.
77,Script_2_0713.wav,Script_2_548-891,slow,2.6288,0.0086,0.6147,0.1237,기간 제한 없이 평생 무료입니다. 카드 등록도 필요 없습니다. 그냥 가입만 하면 됩니다.
78,Script_2_0236.wav,Script_2_163-473,slow,2.6204,0.0088,0.624,0.1265,10번 줄 `렛 엘=1` 엘이라는 변수(그릇)를 만들고 거기에 숫자 1을 담아라.
79,Script_1_0252.wav,Script_1_221-300,slow,2.6137,0.009,0.6331,0.1288,잠시 찻잔을 들어 목을 축이시고 다음 문장을 받아들일 준비를 하십시오.
80,Script_2_0594.wav,Script_2_548-891,slow,2.6062,0.0092,0.6351,0.1313,이게 진짜 물건입니다.
81,Script_3_0810.wav,Script_3_405-878,slow,2.6023,0.0093,0.6362,0.1326,전송 완료 제출 버튼 클릭 서브미티드 드디어 제출 완료했다 외친다.
82,Script_4_0841.wav,Script_4_651-980,fast,-2.5818,0.0098,0.6271,0.1394,자신을 믿으세요 그리고 여러분이 만든 게임을 믿으세요 세상 어딘가에는 여러분의 게임을 인생 게임으로 여길 유저가 분명히 있습니다.
83,Script_3_0305.wav,Script_3_1-404,slow,2.5728,0.0101,0.6438,0.1424,이 지독한 버그를 못 잡고 자면 꿈에 나와서 나를 계속 괴롭힐 것 같아 두렵다.
84,Script_1_0163.wav,Script_1_123-220,slow,2.5517,0.0107,0.649,0.1494,새로운 것을 찾지만 결국은 똑같은 찻잔 똑같은 자리일 뿐인 허무한 순환.
85,Script_2_0862.wav,Script_2_548-891,slow,2.5078,0.0121,0.6364,0.1641,"잠시 집중! 여기서부터는 진짜, 정말, 아주 중요합니다."
86,Script_3_0535.wav,Script_3_405-878,fast,-2.4474,0.0144,0.6496,0.1842,내비게이션 메시 이것을 줄여서 흔히들 내비 메시라고 쓴다고 학생들에게 친절하게 설명한다.
87,Script_2_0152.wav,Script_2_1-162,fast,-2.1319,0.033,0.6455,0.2894,이미 세상은 변했고 인구는 이동했는데? 이건 말이 안 되는 상황이죠. 행정이 마비될 지경이었습니다. 뒷북 행정의 끝판왕이죠.
